,2017,2018,2019,2020,2021,2022,2023,2024
0,ABEV3.SA,ABEV3.SA,ABEV3.SA,ABEV3.SA,ABEV3.SA,RRRP3.SA,RRRP3.SA,ABEV3.SA
1,BBSE3.SA,BVMF3.SA,BTOW3.SA,AZUL4.SA,AZUL4.SA,ALPA4.SA,ALPA4.SA,ALOS3.SA
2,BVMF3.SA,BBSE3.SA,B3SA3.SA,BTOW3.SA,BTOW3.SA,ABEV3.SA,ABEV3.SA,ALPA4.SA
3,BRML3.SA,BRML3.SA,BBSE3.SA,B3SA3.SA,B3SA3.SA,AMER3.SA,AMER3.SA,ARZZ3.SA
4,BBDC3.SA,BBDC3.SA,BRML3.SA,BBSE3.SA,BBSE3.SA,ASAI3.SA,ARZZ3.SA,ASAI3.SA
5,BBDC4.SA,BBDC4.SA,BBDC3.SA,BRML3.SA,BRML3.SA,AZUL4.SA,ASAI3.SA,AZUL4.SA
6,BRAP4.SA,BRAP4.SA,BBDC4.SA,BBDC3.SA,BBDC3.SA,B3SA3.SA,AZUL4.SA,B3SA3.SA
7,BBAS3.SA,BBAS3.SA,BRAP4.SA,BBDC4.SA,BBDC4.SA,BIDI11.SA,B3SA3.SA,BBAS3.SA
8,BRKM5.SA,BRKM5.SA,BBAS3.SA,BRAP4.SA,BRAP4.SA,BPAN4.SA,BPAN4.SA,BBDC3.SA
9,BRFS3.SA,BRFS3.SA,BRKM5.SA,BBAS3.SA,BBAS3.SA,BBSE3.SA,BBSE3.SA,BBDC4.SA
10,CCRO3.SA,CCRO3.SA,BRFS3.SA,BRKM5.SA,BRKM5.SA,BRML3.SA,BRML3.SA,BBSE3.SA
11,CMIG4.SA,CMIG4.SA,CCRO3.SA,BRFS3.SA,BRFS3.SA,BBDC3.SA,BBDC3.SA,BEEF3.SA
12,CTIP3.SA,CIEL3.SA,CMIG4.SA,BPAC11.SA,BPAC11.SA,BBDC4.SA,BBDC4.SA,BHIA3.SA
13,CIEL3.SA,CPLE6.SA,CIEL3.SA,CRFB3.SA,CRFB3.SA,BRAP4.SA,BRAP4.SA,BPAC11.SA
14,CPLE6.SA,CSAN3.SA,CSAN3.SA,CCRO3.SA,CCRO3.SA,BBAS3.SA,BBAS3.SA,BRAP4.SA
15,CSAN3.SA,CPFE3.SA,CVCB3.SA,CMIG4.SA,CMIG4.SA,BRKM5.SA,BRKM5.SA,BRFS3.SA
16,CPFE3.SA,CYRE3.SA,CYRE3.SA,HGTX3.SA,HGTX3.SA,BRFS3.SA,BRFS3.SA,BRKM5.SA
17,CYRE3.SA,ECOR3.SA,ECOR3.SA,CIEL3.SA,CIEL3.SA,BPAC11.SA,BPAC11.SA,CCRO3.SA
18,ECOR3.SA,ELET3.SA,ELET3.SA,COGN3.SA,COGN3.SA,CRFB3.SA,CRFB3.SA,CIEL3.SA
19,ELET3.SA,ELET6.SA,ELET6.SA,CSAN3.SA,CPLE6.SA,CCRO3.SA,CCRO3.SA,CMIG4.SA
20,EMBR3.SA,EMBR3.SA,EMBR3.SA,CVCB3.SA,CSAN3.SA,CMIG4.SA,CMIG4.SA,CMIN3.SA
21,ENBR3.SA,ENBR3.SA,ENBR3.SA,CYRE3.SA,CPFE3.SA,CIEL3.SA,CIEL3.SA,COGN3.SA
22,EGIE3.SA,EGIE3.SA,EGIE3.SA,ECOR3.SA,CVCB3.SA,COGN3.SA,COGN3.SA,CPFE3.SA
23,EQTL3.SA,EQTL3.SA,EQTL3.SA,ELET3.SA,CYRE3.SA,CPLE6.SA,CPLE6.SA,CPLE6.SA
24,ESTC3.SA,ESTC3.SA,ESTC3.SA,ELET6.SA,ECOR3.SA,CSAN3.SA,CSAN3.SA,CRFB3.SA
